kind,value,entity,reason,added_by,added_at,source_url
domain,capitalpower.com,Capital Power,Tier A - Powering Change by Changing Power Accelerator (inaugural 2026). Missing from the prior evidence base,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
domain,pcfinancial.ca,PC Financial,Tier A - PC Financial Resilience Project Accelerator. NOT pcfinancial.com - that is parked on ns3.afternic.com,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
domain,pcbank.ca,PC Financial,Tier A - PC Financial Resilience Project Accelerator. NOT pcfinancial.com - that is parked on ns3.afternic.com,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
name,ralph m barford foundation,Ralph M. Barford Foundation,Tier A - Equal Access Project Accelerator. Name-match only - no own web presence found,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
domain,cooperators.ca,Co-operators,Tier B - supporters-page logo,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,cooperators.com,Co-operators,Tier B - supporters-page logo,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,dobsonfoundation.org,The Dobson Foundation,Tier B - supporters-page logo. Sits in the club's own seed data as a lead - route to Enactus Canada,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,mccallmacbain.org,McCall MacBain Foundation,Tier B - supporters-page logo,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,acoa-apeca.gc.ca,Atlantic Canada Opportunities Agency,Tier B - supporters-page logo. Also caught by K-ORG-04 government,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,pml.ca,Pembroke Management / Pembroke Private Wealth,Tier B - supporters-page logo,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,thebsf.ca,The Brenda Strafford Foundation,Tier B - supporters-page logo. Missing from the prior evidence base,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,mnp.ca,MNP LLP,Tier B - supporters-page logo. NOT mnp.com - different organisation on AT&T nameservers with Mimecast MX,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,xpvwater.com,XPV Water Partners,Tier B - supporters-page logo,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,ecclesiastical.ca,Ecclesiastical Insurance,Tier B - supporters-page logo. Missing from the prior evidence base,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,ecclesiastical.com,Ecclesiastical Insurance,Tier B - supporters-page logo. Missing from the prior evidence base,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,roberthalf.ca,Robert Half,Tier B - supporters-page logo,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,roberthalf.com,Robert Half,Tier B - supporters-page logo,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,thorekscott.com,Thorek/Scott and Partners,Tier B - supporters-page logo. Missing from the prior evidence base,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,zellerfamilyfoundation.ca,Zeller Family Foundation,Tier B - supporters-page logo. Missing from the prior evidence base,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,alwaysbeyond.com,Always Beyond Corp.,Tier B - supporters-page logo (Calgary). Missing from the prior evidence base,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
name,doncaster foundation,Doncaster Foundation,Tier B - supporters-page logo. Name-match only - no Canadian entity found,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
name,prodigy,Prodigy,Tier B - supporters-page logo. Name-match only - UNVERIFIED. prodigy-group.com resolves to an unrelated mail domain and is deliberately not asserted,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
name,td bank group,TD Bank Group,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
name,desjardins,Desjardins,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
name,canadian tire corporation,Canadian Tire Corporation,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
name,enactus canada,Enactus Canada,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
name,national bank of canada,National Bank of Canada,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
name,rbc foundation,RBC Foundation,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
name,jeanne sauve foundation,Jeanne Sauve Foundation,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
name,alterna savings,Alterna Savings,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
name,capital power,Capital Power,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
name,pc financial,PC Financial,Tier A name fallback for records with no resolvable domain,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
name,the dobson foundation,The Dobson Foundation,Tier B name fallback. Appears in the club's own seed data,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
name,john dobson foundation,John Dobson Foundation,Tier B name fallback - alternate rendering of the Dobson Foundation,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
name,varshney family foundation,Varshney Family Foundation,Tier B - EXCLUDED BY NAME ONLY. varshneycapital.com hosts Varshney Capital Corp - a current Enactus SFU partner - and is on never-kill-domains.csv,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
